No,provinsi,UpahMinimum,kecamatan
2,SUMATERA UTARA,2.992.559,SIPIROK
2,SUMATERA UTARA,2.992.559,SAIPAR DOLOK HOLE
2,SUMATERA UTARA,2.992.559,ANGKOLA SELATAN
2,SUMATERA UTARA,2.992.559,BATANG ANGKOLA
2,SUMATERA UTARA,2.992.559,ARSE
2,SUMATERA UTARA,2.992.559,MARANCAR
2,SUMATERA UTARA,2.992.559,SAYUR MATINGGI
2,SUMATERA UTARA,2.992.559,AEK BILAH
2,SUMATERA UTARA,2.992.559,MUARA BATANG TORU
2,SUMATERA UTARA,2.992.559,TANO TOMBANGAN ANGKOLA
2,SUMATERA UTARA,2.992.559,ANGKOLA SANGKUNUR
2,SUMATERA UTARA,2.992.559,ANGKOLA MUARA TAIS
2,SUMATERA UTARA,2.992.559,HILIDUHO
2,SUMATERA UTARA,2.992.559,GIDO
2,SUMATERA UTARA,2.992.559,IDANOGAWO
2,SUMATERA UTARA,2.992.559,BAWOLATO
2,SUMATERA UTARA,2.992.559,HILISERANGKAI
2,SUMATERA UTARA,2.992.559,BOTOMUZOI
2,SUMATERA UTARA,2.992.559,ULUGAWO
2,SUMATERA UTARA,2.992.559,MA'U
2,SUMATERA UTARA,2.992.559,SOMOLO-MOLO
2,SUMATERA UTARA,2.992.559,SOGAE'ADU
2,SUMATERA UTARA,2.992.559,BAHOROK
2,SUMATERA UTARA,2.992.559,SALAPIAN
2,SUMATERA UTARA,2.992.559,KUALA
2,SUMATERA UTARA,2.992.559,SEI BINGAI
2,SUMATERA UTARA,2.992.559,BINJAI
2,SUMATERA UTARA,2.992.559,SELESAI
2,SUMATERA UTARA,2.992.559,STABAT
2,SUMATERA UTARA,2.992.559,WAMPU
2,SUMATERA UTARA,2.992.559,SECANGGANG
2,SUMATERA UTARA,2.992.559,HINAI
2,SUMATERA UTARA,2.992.559,TANJUNG PURA
2,SUMATERA UTARA,2.992.559,PADANG TUALANG
2,SUMATERA UTARA,2.992.559,GEBANG
2,SUMATERA UTARA,2.992.559,BABALAN
2,SUMATERA UTARA,2.992.559,PANGKALAN SUSU
2,SUMATERA UTARA,2.992.559,BESITANG
2,SUMATERA UTARA,2.992.559,SEI LEPAN
2,SUMATERA UTARA,2.992.559,BERANDAN BARAT
2,SUMATERA UTARA,2.992.559,BATANG SERANGAN
2,SUMATERA UTARA,2.992.559,SAWIT SEBERANG
2,SUMATERA UTARA,2.992.559,SIRAPIT
2,SUMATERA UTARA,2.992.559,KUTAMBARU
2,SUMATERA UTARA,2.992.559,PEMATANG JAYA
2,SUMATERA UTARA,2.992.559,KABANJAHE
2,SUMATERA UTARA,2.992.559,BERASTAGI
2,SUMATERA UTARA,2.992.559,BARUSJAHE
2,SUMATERA UTARA,2.992.559,TIGAPANAH
2,SUMATERA UTARA,2.992.559,MEREK
2,SUMATERA UTARA,2.992.559,MUNTE
2,SUMATERA UTARA,2.992.559,JUHAR
2,SUMATERA UTARA,2.992.559,TIGABINANGA
2,SUMATERA UTARA,2.992.559,LAUBALENG
2,SUMATERA UTARA,2.992.559,MARDINGDING
2,SUMATERA UTARA,2.992.559,PAYUNG
2,SUMATERA UTARA,2.992.559,SIMPANG EMPAT
2,SUMATERA UTARA,2.992.559,KUTABULUH
2,SUMATERA UTARA,2.992.559,DOLAT RAYAT
2,SUMATERA UTARA,2.992.559,MERDEKA
2,SUMATERA UTARA,2.992.559,NAMAN TERAN
2,SUMATERA UTARA,2.992.559,TIGANDERKET
2,SUMATERA UTARA,2.992.559,GUNUNG MERIAH
2,SUMATERA UTARA,2.992.559,TANJUNG MORAWA
2,SUMATERA UTARA,2.992.559,SIBOLANGIT
2,SUMATERA UTARA,2.992.559,KUTALIMBARU
2,SUMATERA UTARA,2.992.559,PANCUR BATU
2,SUMATERA UTARA,2.992.559,NAMORAMBE
