No,provinsi,UpahMinimum,kecamatan
2,SUMATERA UTARA,2992559,PANGARIBUAN
2,SUMATERA UTARA,2992559,GAROGA
2,SUMATERA UTARA,2992559,MUARA
2,SUMATERA UTARA,2992559,ANGKOLA BARAT
2,SUMATERA UTARA,2992559,BATANG TORU
2,SUMATERA UTARA,2992559,ANGKOLA TIMUR
2,SUMATERA UTARA,2992559,SIPIROK
2,SUMATERA UTARA,2992559,SAIPAR DOLOK HOLE
2,SUMATERA UTARA,2992559,ANGKOLA SELATAN
2,SUMATERA UTARA,2992559,BATANG ANGKOLA
2,SUMATERA UTARA,2992559,ARSE
2,SUMATERA UTARA,2992559,MARANCAR
2,SUMATERA UTARA,2992559,SAYUR MATINGGI
2,SUMATERA UTARA,2992559,AEK BILAH
2,SUMATERA UTARA,2992559,MUARA BATANG TORU
2,SUMATERA UTARA,2992559,TANO TOMBANGAN ANGKOLA
2,SUMATERA UTARA,2992559,ANGKOLA SANGKUNUR
2,SUMATERA UTARA,2992559,ANGKOLA MUARA TAIS
2,SUMATERA UTARA,2992559,HILIDUHO
2,SUMATERA UTARA,2992559,GIDO
2,SUMATERA UTARA,2992559,IDANOGAWO
2,SUMATERA UTARA,2992559,BAWOLATO
2,SUMATERA UTARA,2992559,HILISERANGKAI
2,SUMATERA UTARA,2992559,BOTOMUZOI
2,SUMATERA UTARA,2992559,ULUGAWO
2,SUMATERA UTARA,2992559,MA'U
2,SUMATERA UTARA,2992559,SOMOLO-MOLO
2,SUMATERA UTARA,2992559,SOGAE'ADU
2,SUMATERA UTARA,2992559,BAHOROK
2,SUMATERA UTARA,2992559,SALAPIAN
2,SUMATERA UTARA,2992559,KUALA
2,SUMATERA UTARA,2992559,SEI BINGAI
2,SUMATERA UTARA,2992559,BINJAI
2,SUMATERA UTARA,2992559,SELESAI
2,SUMATERA UTARA,2992559,STABAT
2,SUMATERA UTARA,2992559,WAMPU
2,SUMATERA UTARA,2992559,SECANGGANG
2,SUMATERA UTARA,2992559,HINAI
2,SUMATERA UTARA,2992559,TANJUNG PURA
2,SUMATERA UTARA,2992559,PADANG TUALANG
2,SUMATERA UTARA,2992559,GEBANG
2,SUMATERA UTARA,2992559,BABALAN
2,SUMATERA UTARA,2992559,PANGKALAN SUSU
2,SUMATERA UTARA,2992559,BESITANG
2,SUMATERA UTARA,2992559,SEI LEPAN
2,SUMATERA UTARA,2992559,BERANDAN BARAT
2,SUMATERA UTARA,2992559,BATANG SERANGAN
2,SUMATERA UTARA,2992559,SAWIT SEBERANG
2,SUMATERA UTARA,2992559,SIRAPIT
2,SUMATERA UTARA,2992559,KUTAMBARU
2,SUMATERA UTARA,2992559,PEMATANG JAYA
2,SUMATERA UTARA,2992559,KABANJAHE
2,SUMATERA UTARA,2992559,BERASTAGI
2,SUMATERA UTARA,2992559,BARUSJAHE
2,SUMATERA UTARA,2992559,TIGAPANAH
2,SUMATERA UTARA,2992559,MEREK
2,SUMATERA UTARA,2992559,MUNTE
2,SUMATERA UTARA,2992559,JUHAR
2,SUMATERA UTARA,2992559,TIGABINANGA
2,SUMATERA UTARA,2992559,LAUBALENG
2,SUMATERA UTARA,2992559,MARDINGDING
2,SUMATERA UTARA,2992559,PAYUNG
2,SUMATERA UTARA,2992559,SIMPANG EMPAT
2,SUMATERA UTARA,2992559,KUTABULUH
2,SUMATERA UTARA,2992559,DOLAT RAYAT
2,SUMATERA UTARA,2992559,MERDEKA
2,SUMATERA UTARA,2992559,NAMAN TERAN
2,SUMATERA UTARA,2992559,TIGANDERKET
2,SUMATERA UTARA,2992559,GUNUNG MERIAH
2,SUMATERA UTARA,2992559,TANJUNG MORAWA
2,SUMATERA UTARA,2992559,SIBOLANGIT
2,SUMATERA UTARA,2992559,KUTALIMBARU
2,SUMATERA UTARA,2992559,PANCUR BATU
2,SUMATERA UTARA,2992559,NAMORAMBE
2,SUMATERA UTARA,2992559,SIBIRU-BIRU
2,SUMATERA UTARA,2992559,STM HILIR
2,SUMATERA UTARA,2992559,BANGUN PURBA
2,SUMATERA UTARA,2992559,GALANG
2,SUMATERA UTARA,2992559,STM HULU
2,SUMATERA UTARA,2992559,PATUMBAK
2,SUMATERA UTARA,2992559,DELI TUA
2,SUMATERA UTARA,2992559,SUNGGAL
2,SUMATERA UTARA,2992559,HAMPARAN PERAK
2,SUMATERA UTARA,2992559,LABUHAN DELI
2,SUMATERA UTARA,2992559,PERCUT SEI TUAN
2,SUMATERA UTARA,2992559,BATANG KUIS
2,SUMATERA UTARA,2992559,LUBUK PAKAM
2,SUMATERA UTARA,2992559,PAGAR MERBAU
2,SUMATERA UTARA,2992559,PANTAI LABU
2,SUMATERA UTARA,2992559,BERINGIN
2,SUMATERA UTARA,2992559,SIANTAR
2,SUMATERA UTARA,2992559,GUNUNG MALELA
2,SUMATERA UTARA,2992559,GUNUNG MALIGAS
2,SUMATERA UTARA,2992559,PANEI
2,SUMATERA UTARA,2992559,PANOMBEIAN PANE
2,SUMATERA UTARA,2992559,JORLANG HATARAN
2,SUMATERA UTARA,2992559,RAYA KAHEAN
2,SUMATERA UTARA,2992559,BOSAR MALIGAS
2,SUMATERA UTARA,2992559,SIDAMANIK
2,SUMATERA UTARA,2992559,PEMATANG SIDAMANIK
2,SUMATERA UTARA,2992559,TANAH JAWA
2,SUMATERA UTARA,2992559,HATONDUHAN
2,SUMATERA UTARA,2992559,DOLOK PANRIBUAN
2,SUMATERA UTARA,2992559,PURBA
2,SUMATERA UTARA,2992559,HARANGGAOL HORISON
2,SUMATERA UTARA,2992559,GIRSANG SIPANGAN BOLON
2,SUMATERA UTARA,2992559,DOLOK BATU NANGGAR
2,SUMATERA UTARA,2992559,HUTA BAYU RAJA
2,SUMATERA UTARA,2992559,JAWA MARAJA BAH JAMBI
2,SUMATERA UTARA,2992559,DOLOK PARDAMEAN
